epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,16121.4,0.51959,1.02069,0.4217,0.93179,0.88691,0.83149,0.86306,0.7802,0.91496,0.79887,0.84835,0.71352,0.51856,1.12294,0.42679,0.90647,9.904e-05,9.904e-05,9.904e-05
40,16534,0.52082,1.02192,0.42113,0.93288,0.89671,0.83148,0.86357,0.78197,0.88911,0.8212,0.8501,0.71623,0.51772,1.12014,0.42379,0.90655,9.112e-05,9.112e-05,9.112e-05
41,16945.7,0.46405,0.90428,0.34205,0.91673,0.90153,0.82495,0.86531,0.78807,0.89607,0.81924,0.85301,0.71993,0.51633,1.13072,0.41993,0.9067,8.32e-05,8.32e-05,8.32e-05
42,17353.7,0.45206,0.88326,0.33,0.9098,0.89701,0.83433,0.86671,0.78971,0.88967,0.82676,0.8547,0.72276,0.5123,1.1315,0.41557,0.90534,7.528e-05,7.528e-05,7.528e-05
43,17761.6,0.4478,0.86699,0.32215,0.90937,0.8475,0.83328,0.8672,0.79181,0.84149,0.82719,0.85453,0.72188,0.50639,1.13733,0.41848,0.90428,6.736e-05,6.736e-05,6.736e-05
44,18171.5,0.43633,0.84914,0.31451,0.9021,0.8485,0.83337,0.86652,0.7914,0.84239,0.82718,0.85488,0.72443,0.50758,1.14736,0.41506,0.90563,5.944e-05,5.944e-05,5.944e-05
45,18581,0.43082,0.84294,0.30931,0.90185,0.91047,0.82584,0.86709,0.79275,0.90868,0.81501,0.85444,0.72599,0.50468,1.14358,0.41367,0.90607,5.152e-05,5.152e-05,5.152e-05
46,18988.9,0.42514,0.8251,0.30355,0.89705,0.85903,0.83073,0.86844,0.79478,0.90514,0.82368,0.8572,0.72816,0.50226,1.14973,0.41082,0.90496,4.36e-05,4.36e-05,4.36e-05
47,19395.1,0.42022,0.81412,0.29714,0.89445,0.85799,0.82529,0.8703,0.79949,0.85789,0.81498,0.85781,0.7317,0.49857,1.15505,0.40728,0.90222,3.568e-05,3.568e-05,3.568e-05
48,19804.5,0.41486,0.80339,0.29327,0.89198,0.86937,0.81874,0.86981,0.79757,0.86443,0.81033,0.85714,0.73096,0.49757,1.16062,0.40697,0.90155,2.776e-05,2.776e-05,2.776e-05
49,20212,0.41063,0.80034,0.28835,0.88824,0.92203,0.81703,0.86959,0.7978,0.91702,0.81094,0.85765,0.7316,0.49759,1.16358,0.40806,0.90343,1.984e-05,1.984e-05,1.984e-05
50,20620.1,0.40408,0.78489,0.28375,0.889,0.87557,0.8176,0.86936,0.79908,0.87137,0.81228,0.85778,0.7317,0.49569,1.16692,0.40693,0.90389,1.192e-05,1.192e-05,1.192e-05
