epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3429.27,0.91,2.65821,0.79958,1.17279,0.54632,0.50035,0.47787,0.37324,0.5165,0.46922,0.41314,0.21359,1.05101,2.96331,1.04429,1.36701,0.00031684,0.00031684,0.00031684
44,3508.45,0.90284,2.6528,0.80547,1.17264,0.58069,0.44803,0.43088,0.32333,0.54916,0.41605,0.37778,0.1977,1.0603,2.91727,1.12097,1.36131,0.00031486,0.00031486,0.00031486
45,3589.54,0.89085,2.64621,0.77473,1.16603,0.58866,0.48645,0.47873,0.37457,0.55493,0.45076,0.41774,0.22144,1.03879,2.91736,1.02022,1.34498,0.00031288,0.00031288,0.00031288
46,3673.61,0.89603,2.62762,0.7782,1.16352,0.57944,0.4885,0.47331,0.36644,0.55524,0.44998,0.41397,0.21705,1.05851,2.92408,1.0266,1.36946,0.0003109,0.0003109,0.0003109
47,3757.25,0.89431,2.62189,0.77581,1.16137,0.60196,0.45197,0.46593,0.36773,0.54885,0.43556,0.40027,0.20791,1.04328,2.96341,1.06541,1.36054,0.00030892,0.00030892,0.00030892
48,3836.98,0.89771,2.60841,0.7746,1.16506,0.57426,0.4919,0.4787,0.37993,0.61628,0.42108,0.41919,0.22201,1.03914,2.90843,1.07684,1.35274,0.00030694,0.00030694,0.00030694
49,3917.17,0.89573,2.6097,0.76396,1.16014,0.58622,0.45565,0.46834,0.36653,0.55283,0.42461,0.40723,0.21755,1.04014,2.97165,1.03809,1.36073,0.00030496,0.00030496,0.00030496
50,3997.59,0.88485,2.58629,0.75502,1.15758,0.59054,0.45087,0.46014,0.36311,0.51999,0.44597,0.39273,0.20425,1.04507,2.94882,1.02565,1.36892,0.00030298,0.00030298,0.00030298
51,4078.3,0.88298,2.61608,0.75808,1.15832,0.56664,0.4803,0.46217,0.36089,0.53402,0.44321,0.40399,0.21058,1.04205,2.95743,1.03516,1.36303,0.000301,0.000301,0.000301
52,4159.18,0.89021,2.59219,0.74474,1.16378,0.56472,0.4444,0.45321,0.35713,0.50447,0.41423,0.38722,0.207,1.04739,2.96161,1.05637,1.36609,0.00029902,0.00029902,0.00029902
53,4239.88,0.88377,2.60762,0.75681,1.15703,0.54232,0.46258,0.44789,0.3488,0.50241,0.42335,0.38508,0.19739,1.03934,2.95039,1.03899,1.3645,0.00029704,0.00029704,0.00029704
54,4320.53,0.87625,2.58787,0.7364,1.15302,0.59605,0.4677,0.46393,0.36094,0.56387,0.41986,0.39613,0.20966,1.0334,2.97051,1.04186,1.36236,0.00029506,0.00029506,0.00029506
55,4404.77,0.88135,2.59354,0.74165,1.16115,0.59257,0.44267,0.44627,0.34962,0.54244,0.4044,0.38418,0.20475,1.03354,2.93852,1.03211,1.37097,0.00029308,0.00029308,0.00029308
56,4488.52,0.87183,2.57585,0.72877,1.14795,0.60196,0.46875,0.45543,0.35094,0.55707,0.4186,0.39106,0.19985,1.05285,2.96174,1.05025,1.37403,0.0002911,0.0002911,0.0002911
57,4572.16,0.88012,2.57095,0.73018,1.1563,0.5733,0.47125,0.46203,0.36039,0.53753,0.43227,0.40294,0.21821,1.0491,2.97019,1.0793,1.37384,0.00028912,0.00028912,0.00028912
